REGION,ISLAND.CODE,TOP_YMAX,BOTTOM_YMIN,LEFT_XMIN,RIGHT_XMAX,INCLUDED.ISLANDS
MHI,Hawaii,18.66465,20.5212,-154.5542,-156.310932,
MHI,Kahoolawe,20.25111,20.85883,-156.2807,-156.9606,
MHI,Kauai,21.6189,22.49683668,-159.0321,-160.0442446,
MHI,Kaula,21.402767,21.905167,-160.29365,-160.795217,
MHI,Lanai,20.48067,21.18291,-156.5513791,-157.3115841,
MHI,Lehua,21.764533,22.279283,-159.8414,-160.3516,
MHI,Maui,20.32842,21.28291926,-155.724224,-156.9508,
MHI,Molokai,20.78225,21.465533,-156.4563,-157.5642284,
MHI,Molokini,20.3803,20.8836,-156.2466,-156.7488,
NWHI,Nihoa,22.8033,23.31271,-161.66402,-162.18,
MHI,Niihau,21.53143,22.27773,-159.7982,-160.502333,
MHI,Oahu,20.99259,21.95447876,-157.398183,-158.543217,