year,month,sector,day,species,island,sst,catch,mean,q10,q90,abnormal
1991,02,W,14,Black Marlin,Hawaii,25.090286508275753,1,24.77625,24.416324400417103,24.84428151549943,Yes
1992,02,W,14,Black Marlin,Hawaii,25.131506821918673,1,24.039166666666667,23.77254209378408,24.041389269406395,Yes
1992,05,W,19,Black Marlin,Hawaii,24.614577678053934,1,25.604583333333334,25.25923446019629,25.60647699004975,Yes
1993,06,W,13,Black Marlin,Hawaii,24.63525696417974,1,25.51111111111111,25.152822464558344,25.50170319634703,Yes
1993,08,NW,16,Black Marlin,Hawaii,25.77902558851953,1,26.49972602739726,26.41738909487459,26.61973797678275,Yes
1994,07,W,19,Black marlin,Hawaii,25.177110334065457,1,25.99701388888889,25.565405779716464,25.93767133084577,Yes
1994,07,W,19,Black Marlin,Hawaii,25.177110334065457,1,25.99701388888889,25.565405779716464,25.93767133084577,Yes
1994,08,W,27,Black marlin,Hawaii,25.990382123263025,1,26.927152777777778,26.456995747001095,26.897501997716894,Yes
1995,09,W,25,Black marlin,Hawaii,26.50405663270002,1,26.87034722222222,26.576919629225735,26.8462274543379,Yes
1996,12,W,01,Black Marlin,Hawaii,26.82897422247695,1,25.121458333333333,24.789323118865866,25.12299343607306,Yes
1996,12,W,01,Giant squid,Hawaii,26.82897422247695,1,25.121458333333333,24.789323118865866,25.12299343607306,Yes
1997,02,W,21,Black Marlin,Hawaii,25.06138060567904,1,24.787152777777777,24.506988113413307,24.773004042288555,Yes
1998,08,W,16,Black Marlin,Hawaii,25.025559650090237,1,26.113819444444445,25.89875912408759,26.127740775290217,Yes
1998,10,W,16,Black Marlin,Hawaii,26.144257799477604,1,26.30125,25.88367044711014,26.306176369863014,No
1999,03,SE,04,Frogfish,Hawaii,24.082553921415915,1,23.78123076923077,23.68361930207197,23.872282027363184,Yes
2000,10,E,08,Green jack,Hawaii,26.02793750444612,1,26.053206106870228,26.006858560523444,26.383710820895523,No
2002,05,E,19,Green jack,Hawaii,24.20804812890512,1,25.00351145038168,24.929877685088634,25.375056799336647,Yes
2002,08,W,16,Black Marlin,Hawaii,26.138757071123255,1,26.749305555555555,26.428097382769902,26.71277796803653,Yes
2002,09,NW,01,Finescale triggerfish,Hawaii,26.292158155803673,1,26.706164383561642,26.40282050163577,26.694897926179603,Yes
2002,10,W,01,Black Marlin,Hawaii,26.542749613005284,1,26.651944444444446,26.30579171210469,26.661167081260366,No
2003,09,W,11,Black Marlin,Hawaii,26.285595715106346,1,26.795972222222222,26.576579565472695,26.78853139269406,Yes
2006,04,N,23,Bluestriped chub,Hawaii,24.16949941527344,1,24.174014598540147,24.039075899672845,24.369820895522388,No
2007,04,W,10,Tripletail,Hawaii,24.50723148851599,1,24.68145833333333,24.34887579062159,24.661318097014927,No
2007,10,W,16,Tripletail,Hawaii,26.375980412899633,1,26.399166666666666,26.12924685848503,26.401430365296804,No
2008,09,W,05,Black marlin,Hawaii,25.773249802143255,1,26.146527777777777,26.005079624192604,26.155500951293757,Yes
2008,10,E,11,Bluestriped chub,Hawaii,25.89690662979262,1,25.875038167938932,25.867480563711098,26.11760873287671,No
2009,01,W,15,Tripletail,Hawaii,25.4834251912249,1,24.70347222222222,24.03185714285714,24.70354014459665,Yes
2009,04,S,19,Whitemargin unicornfish,Hawaii,23.496476128303186,1,23.642537313432836,23.477744734098017,23.60845350172216,No
2009,10,W,01,Black marlin,Hawaii,26.407664622061432,1,26.615,26.451854089422028,26.614529850746266,Yes
2010,10,E,16,Sidespot goatfish,Hawaii,25.62241728757798,1,25.921297709923664,25.915877627715794,26.147095985540332,Yes
2011,01,W,20,Shadowfin soldierfish,Hawaii,25.549970804840964,1,24.916875,24.65081232279171,24.920633395522387,Yes
2011,02,W,14,Oriental bonito,Hawaii,25.217440345468578,1,24.850555555555555,24.663922573609597,24.837890547263683,Yes
2011,03,W,10,Black Marlin,Hawaii,25.000392782246625,1,24.819583333333334,24.508336314067613,24.822954601990048,Yes
2011,04,W,29,Shadowfin soldierfish,Hawaii,24.82064253937199,1,24.805972222222223,24.478772082878955,24.778202625570778,Yes
2012,05,W,02,Black Marlin,Hawaii,24.054011589425812,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,05,Black Marlin,Hawaii,24.05464613942375,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,06,Black Marlin,Hawaii,24.056780787982902,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,07,Black Marlin,Hawaii,24.058265243301616,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,10,Black Marlin,Hawaii,24.060474795337775,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,11,Black Marlin,Hawaii,24.06375042955313,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,12,Black Marlin,Hawaii,24.066225333158037,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,13,Black Marlin,Hawaii,24.071033130900435,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,17,Black Marlin,Hawaii,24.09055433070683,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,19,Black Marlin,Hawaii,24.100061883498817,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,20,Black Marlin,Hawaii,24.107429135026987,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,22,Black Marlin,Hawaii,24.12517348311798,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,23,Black Marlin,Hawaii,24.12842128934916,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,24,Black Marlin,Hawaii,24.132566416314702,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,25,Black Marlin,Hawaii,24.138399749796758,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,26,Black Marlin,Hawaii,24.144983520637943,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,27,Black Marlin,Hawaii,24.151167829468932,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,28,Black Marlin,Hawaii,24.157175626215647,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,29,Black Marlin,Hawaii,24.16332382335068,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,31,Black Marlin,Hawaii,24.17266095786996,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,06,W,01,Black Marlin,Hawaii,24.176204281661942,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,03,Black Marlin,Hawaii,24.182338202738624,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,04,Black Marlin,Hawaii,24.185016855951872,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,06,Black Marlin,Hawaii,24.192266270133718,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,09,Black Marlin,Hawaii,24.210878846547757,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,10,Black Marlin,Hawaii,24.2171315765102,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,11,Black Marlin,Hawaii,24.224955748814587,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,12,Black Marlin,Hawaii,24.233816518225865,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,13,Black Marlin,Hawaii,24.244244150381107,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,15,Black Marlin,Hawaii,24.2659516062374,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,16,Black Marlin,Hawaii,24.275867054801704,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,17,Black Marlin,Hawaii,24.289484551022625,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,18,Black Marlin,Hawaii,24.30157149114107,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,19,Black Marlin,Hawaii,24.310297564010174,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,20,Black Marlin,Hawaii,24.319708332597163,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,21,Black Marlin,Hawaii,24.329102143916007,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,22,Black Marlin,Hawaii,24.339956577842,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,23,Black Marlin,Hawaii,24.35065136335979,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,24,Black Marlin,Hawaii,24.35065136335979,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,25,Black Marlin,Hawaii,24.36195497085244,1,24.67597222222222,24.352926482677628,24.61559988584475,No
2012,06,W,26,Black Marlin,Hawaii,24.374733333754957,1,24.67597222222222,24.352926482677628,24.61559988584475,No
2012,06,W,27,Black Marlin,Hawaii,24.3855380610044,1,24.67597222222222,24.352926482677628,24.61559988584475,No
2012,06,W,28,Black Marlin,Hawaii,24.39436486376192,1,24.67597222222222,24.352926482677628,24.61559988584475,No
2012,06,W,29,Black Marlin,Hawaii,24.403617544062655,1,24.67597222222222,24.352926482677628,24.61559988584475,No
2012,06,W,30,Black Marlin,Hawaii,24.414088890296906,1,24.67597222222222,24.352926482677628,24.61559988584475,No
2012,08,W,03,Black Marlin,Hawaii,24.87472412871571,1,25.775277777777777,25.313403162486367,25.70973401826484,Yes
2012,11,W,15,Unicorn filefish,Hawaii,25.948107161140815,1,25.516944444444444,25.171609160305344,25.469874378109452,Yes
2012,12,W,09,Black Marlin,Hawaii,25.77917914069884,1,24.88486111111111,24.579278735005452,24.88010012437811,Yes
2012,12,W,15,Black Marlin,Hawaii,25.714870707491453,1,24.88486111111111,24.579278735005452,24.88010012437811,Yes
2012,12,W,18,Black Marlin,Hawaii,25.670831820634838,1,24.88486111111111,24.579278735005452,24.88010012437811,Yes
2012,12,W,29,Black Marlin,Hawaii,25.552159112099318,1,24.88486111111111,24.579278735005452,24.88010012437811,Yes
2013,02,W,09,Black Marlin,Hawaii,24.816050386930765,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,12,Black Marlin,Hawaii,24.77089020126744,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,15,Black Marlin,Hawaii,24.729639422256813,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,16,Black Marlin,Hawaii,24.71486851574152,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,21,Black Marlin,Hawaii,24.64089083424321,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,22,Black Marlin,Hawaii,24.630295561470717,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,24,Black Marlin,Hawaii,24.601770804685923,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,25,Black Marlin,Hawaii,24.589205502989696,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,26,Black Marlin,Hawaii,24.57693220870072,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,27,Black Marlin,Hawaii,24.563067783389176,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,02,W,28,Black Marlin,Hawaii,24.563067783389176,1,24.187083333333334,23.623213740458013,24.144056506849317,Yes
2013,03,W,03,Black Marlin,Hawaii,24.519767151576037,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,04,Black Marlin,Hawaii,24.50496169252005,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,05,Black Marlin,Hawaii,24.49012338820489,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,07,Black Marlin,Hawaii,24.46168815322787,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,11,Black Marlin,Hawaii,24.410764177742525,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,12,Black Marlin,Hawaii,24.401708915173195,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,18,Black Marlin,Hawaii,24.36312280430896,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,19,Black Marlin,Hawaii,24.357620318191557,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,21,Black Marlin,Hawaii,24.3511156882366,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,23,Black Marlin,Hawaii,24.34094293076625,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,24,Black Marlin,Hawaii,24.336194099701405,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,25,Black Marlin,Hawaii,24.32973669171101,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,28,Black Marlin,Hawaii,24.304516076065642,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,03,W,29,Black Marlin,Hawaii,24.29635506097336,1,24.081875,23.46160599781897,24.001165239726028,Yes
2013,07,N,03,Whitemargin unicornfish,Hawaii,25.2369943733809,1,25.923649635036497,25.802647328244273,26.021157534246573,Yes
2013,07,N,13,Whitemargin unicornfish,Hawaii,25.449407222665222,1,25.923649635036497,25.802647328244273,26.021157534246573,Yes
2013,07,W,22,Louvar,Hawaii,25.754444142995986,1,26.028333333333332,25.802647328244273,26.021157534246573,Yes
2013,12,W,02,Black Marlin,Hawaii,26.566608921296414,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,03,Black Marlin,Hawaii,26.558769253234416,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,07,Black Marlin,Hawaii,26.5218760776055,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,16,Black Marlin,Hawaii,26.424125981702673,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,23,Black Marlin,Hawaii,26.33127120448367,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,24,Black Marlin,Hawaii,26.317776857017307,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,27,Black Marlin,Hawaii,26.281269596231844,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2013,12,W,30,Black Marlin,Hawaii,26.24607276707365,1,25.74277777777778,25.581691712104686,25.74860197869102,Yes
2014,04,W,03,Black Marlin,Hawaii,25.18302461207726,1,24.941111111111113,24.722717205422313,25.085182089552237,Yes
2014,04,W,05,Black Marlin,Hawaii,25.171293081651655,1,24.941111111111113,24.722717205422313,25.085182089552237,Yes
2014,04,W,27,Black Marlin,Hawaii,25.100109408055133,1,24.941111111111113,24.722717205422313,25.085182089552237,Yes
2014,05,SE,04,Spotted knifejaw,Hawaii,25.134582107441098,1,25.839846153846153,25.619981213307238,25.80981205510907,Yes
2014,10,W,02,Black Marlin,Hawaii,26.88777164090214,1,27.463402777777777,27.190749853200234,27.47113536910198,Yes
2014,11,WI,15,Oriental bonito,Hawaii,27.192361021331486,1,26.731863117870724,26.572454844392247,26.858369767884323,Yes
2015,01,NE,11,Spotted knifejaw,Hawaii,26.095892882143968,1,24.881714285714285,24.891295307612094,25.066925717566015,Yes
2015,01,NE,12,Spotted knifejaw,Hawaii,26.07047156295949,1,24.881714285714285,24.891295307612094,25.066925717566015,Yes
2015,04,W,01,Black Marlin,Hawaii,25.029830411107916,1,25.304305555555555,24.91753042529989,25.29162748756219,No
2015,07,WI,15,Knifejaw,Hawaii,25.661676293421493,1,27.02357414448669,26.88719108089191,27.092296670493685,Yes
2019,03,W,14,Black Marlin,Hawaii,24.791437672536972,1,24.43375,24.194796558915534,24.444848880597014,Yes
2001,12,S,16,Knifejaw,Kauai,25.964533949847574,1,25.04607843137255,24.855176470588233,25.023218487394956,Yes
2001,12,S,26,Knifejaw,Kauai,25.72328664839777,1,25.04607843137255,24.855176470588233,25.023218487394956,Yes
2015,05,WI,19,Humpback snapper,Kauai,24.550730507148806,1,25.316470588235294,25.221764705882354,25.453457800511508,Yes
2019,03,WI,16,Black Marlin,Kauai,24.0916858552893,1,23.206666666666667,23.133019607843135,23.32721848739496,Yes
1992,03,N,16,Butagachi,Maui,24.231066740368618,1,23.804647887323945,23.787022751895993,24.150997649823736,Yes
1993,06,NW,16,Black Marlin,Maui,24.32672298362663,1,25.251666666666665,25.140249187432286,25.541798668233447,Yes
1994,12,N,16,Bluestriped chub,Maui,25.632377312580743,1,24.048028169014085,24.031004333694476,24.449046611829218,Yes
2003,01,E,14,Sidespot goatfish,Maui,25.563466613990414,1,24.76450704225352,24.532724178403758,25.012448100274185,Yes
2011,06,N,30,Snakefish,Maui,24.83045795265539,1,24.972957746478873,24.91712026002167,25.167446141793967,Yes
2014,04,NW,14,Black Marlin,Maui,24.607168174863936,1,24.376944444444444,24.327646803900326,24.72165256560909,No
2014,07,NW,15,Black Marlin,Maui,25.34669819579826,1,26.170277777777777,26.10658071505959,26.39574578926753,Yes
2016,12,N,16,Oriental bonito,Maui,26.11633718720189,1,25.25830985915493,25.238983568075117,25.575770074422245,Yes
2017,07,WI,15,Oriental bonito,Maui,25.809748538945982,1,26.60159090909091,26.46034019501625,26.770029768899334,Yes
2019,03,WI,31,Oriental bonito,Maui,24.166922994750152,1,23.9975,23.841510563380282,24.135496278887583,Yes
2019,04,NW,15,Butagachi,Maui,23.90489565373899,1,24.323888888888888,24.31449295774648,24.950963180571875,Yes
1992,08,N,16,Spotted Knifejaw,Molokai,25.963409715670128,1,26.050833333333333,26.10887365591398,26.485403846153844,Yes
1994,07,N,15,Spotted Knifejaw,Molokai,24.722865728978757,1,25.480833333333333,25.521712365591398,25.797865384615385,Yes
2000,03,SW,16,Blue mackerel,Molokai,23.966876982885694,1,23.986071428571428,23.65686357526882,23.95805769230769,Yes
2001,01,SW,11,Deepsea catfish,Molokai,25.655138887677875,1,24.74892857142857,24.444333333333333,24.722826923076923,Yes
2002,05,SW,29,Finescale triggerfish,Molokai,24.580396827818856,1,25.22714285714286,24.846341397849464,25.193442307692308,Yes
2009,01,SW,12,Goldflag snapper,Molokai,25.665523806072418,1,24.590714285714284,24.272485887096774,24.569384615384614,Yes
2009,04,SW,15,Goldflag snapper,Molokai,23.753888888586136,1,23.649642857142858,23.16990188172043,23.602442307692307,Yes
2009,12,SW,21,Goldflag snapper,Molokai,26.302908713477,1,25.23892857142857,24.965684811827956,25.215942307692305,Yes
2012,05,N,14,Oriental bonito,Molokai,23.663131928002393,1,24.17770833333333,24.229653897849463,24.622461538461536,Yes
2012,05,N,14,Spotted mackerel,Molokai,23.663131928002393,1,24.17770833333333,24.229653897849463,24.622461538461536,Yes
2012,06,WI,16,Mirror Dory,Molokai,24.145673151219146,1,24.543440860215053,24.410948924731183,24.855307692307694,Yes
2013,12,SW,29,Goldflag snapper,Molokai,26.382345248782446,1,25.716428571428573,25.310872983870965,25.682653846153844,Yes
2006,06,S,11,Whitemargin unicornfish,Niihau,24.886066659821406,1,25.9645,25.9645,25.9645,Yes
1997,07,S,15,Sea bass,Oahu,25.573773913948447,1,26.2734375,25.915044886363635,26.266364583333335,Yes
1998,12,S,16,Butagachi,Oahu,25.748521280684084,1,24.6675,24.147396022727275,24.622709459459458,Yes
1999,02,SE,17,Hawaiian seabass,Oahu,24.40129824130856,1,23.703783783783784,23.271319318181817,23.839689236111113,Yes
1999,07,WI,15,Green jack,Oahu,24.94370998597801,1,25.47972972972973,25.147510795454547,25.69550289351852,Yes
2000,01,S,01,Bluestriped chub,Oahu,25.39236521234999,1,23.90453125,23.58701875,23.89124826388889,Yes
2001,09,NW,15,Hybrid jack,Oahu,26.335898481507687,1,26.941153846153846,26.59525,26.96030769230769,Yes
2002,02,S,05,Green jack,Oahu,25.127696697852965,1,24.13046875,23.544680681818182,24.095659143518517,Yes
2002,03,N,01,Emperor red snapper,Oahu,24.28062831094025,1,23.520727272727274,23.47738409090909,23.908787037037037,Yes
2006,01,S,30,Tripletail,Oahu,25.60784393712612,1,25.085625,24.490738068181816,25.083113425925927,Yes
2007,01,NW,15,Whitefin trevally,Oahu,25.649582999952862,1,24.448846153846155,24.360767613636362,24.657345486111108,Yes
2007,11,E,17,Black Marlin,Oahu,26.359846154237406,1,26.04921875,25.84719034090909,26.255378378378374,Yes
2009,03,W,17,Spotted knifejaw,Oahu,24.253179459218625,1,23.435925925925925,23.084360227272725,23.444601273148145,Yes
2010,07,E,15,Sling jaw,Oahu,24.868526509276823,1,25.66734375,25.59197159090909,25.945104166666667,Yes
2010,10,W,16,Black Marlin,Oahu,26.232575607341854,1,26.37185185185185,26.183171022727272,26.364758680555557,No
2011,06,SE,08,Green jack,Oahu,25.096900589145417,1,25.50189189189189,25.295582954545456,25.660375000000002,Yes
2011,08,NW,16,Giant squid,Oahu,25.58500275186714,1,25.783076923076923,25.68983693181818,25.995776041666666,Yes
2012,03,SE,27,Green jack,Oahu,23.955350863584997,1,23.80891891891892,23.551197159090908,23.99788715277778,No
2012,07,E,15,Elbow crab,Oahu,24.467998285538112,1,25.07078125,24.885463068181817,25.322109953703706,Yes
2012,12,E,29,Yellowtail amberjack,Oahu,25.21966495676937,1,24.5009375,24.46475,24.880088541666666,Yes
2013,02,NW,02,Finescale triggerfish,Oahu,24.648631001957813,1,23.66923076923077,23.486210795454546,23.948450810185186,Yes
2013,05,NW,19,Green jack,Oahu,24.07840193393953,1,25.293076923076924,25.172979545454545,25.556891782407405,Yes
2013,08,NW,16,Threadfin perchlet,Oahu,25.96834567557964,1,26.604615384615386,26.391838636363637,26.95571064814815,Yes
2013,11,NW,15,Butagachi,Oahu,26.80145130942388,1,26.24230769230769,26.044248863636362,26.414359375000004,Yes
2014,01,SE,01,Barnacle crab,Oahu,26.137988301327354,1,24.76162162162162,24.399846590909092,24.826747685185186,Yes
2014,09,E,19,Eastern pacific bonito,Oahu,26.80390085530077,1,27.638593750000002,27.568460795454545,27.87204861111111,Yes
2015,03,NW,28,Yellowtail amberjack,Oahu,24.297096031356414,1,24.311923076923076,23.963752840909088,24.470484375,No
2015,11,S,15,Spadefish,Oahu,27.833714764364654,1,26.7934375,26.30380284090909,26.756788006756757,Yes
2017,06,E,16,Yellowtail amberjack,Oahu,25.599047860365648,1,26.2959375,26.237415909090906,26.55126736111111,Yes
2018,08,WI,16,Yellowtail amberjack,Oahu,26.094868093490188,1,26.806576576576578,26.590765625,26.943182291666666,Yes
2019,08,NW,16,Yellowtail amberjack,Oahu,26.768282564579213,1,27.548846153846153,27.42060909090909,27.8261410472973,Yes
2020,03,NW,20,Yellowtail amberjack,Oahu,24.73956790761856,1,24.220384615384614,24.127686931818182,24.34581883445946,Yes
2020,09,NW,16,Yellowtail amberjack,Oahu,27.114305887366193,1,27.52307692307692,26.935984375000004,27.536876068376067,No
2020,11,N,14,Humpback snapper,Oahu,27.28728504773801,1,26.875272727272726,26.658546875,27.235076923076925,Yes
